Направление;Категория;Название курса;Ссылка
HoReCa;Гостиницы;Управление отелем — курс от практиков индустрии гостеприимства;https://www.cntiprogress.ru/seminarsforcolumn/12511.aspx
HoReCa;Гостиницы;Бухгалтерский и налоговый учет в организациях сферы гостеприимства;https://www.cntiprogress.ru/seminarsforcolumn/3458.aspx
HoReCa;Общепит;Бухгалтерский и налоговый учет в общественном питании, ресторанном бизнесе;https://www.cntiprogress.ru/seminarsforcolumn/3278.aspx
HoReCa;Общепит;Заведующий производством на предприятиях общественного питания;https://www.cntiprogress.ru/seminarsforcolumn/16180.aspx
Агропромышленный комплекс;Пищевое производство;Построение и внутренний аудит системы управления качеством и безопасности пищевых продуктов на основе ГОСТ Р 51705.1-2024 и ГОСТ Р ИСО 22000-2019;https://www.cntiprogress.ru/seminarsforcolumn/30929.aspx
Государственное и муниципальное управление;Организация деятельности учреждений и органов власти;Комиссии по делам несовершеннолетних и защите их прав: правовая регламентация деятельности. Последние изменения;https://www.cntiprogress.ru/seminarsforcolumn/15027.aspx
Государственное и муниципальное управление;Организация деятельности учреждений и органов власти;Организация деятельности руководителей и аппарата представительного органа;https://www.cntiprogress.ru/seminarsforcolumn/15616.aspx
Государственное и муниципальное управление;Организация деятельности учреждений и органов власти;Задачи и функции представительного органа и депутатского корпуса;https://www.cntiprogress.ru/seminarsforcolumn/7925.aspx
Культура;Музеи. Библиотеки;Музейная педагогика;https://www.cntiprogress.ru/seminarsforcolumn/17357.aspx
Культура;Музеи. Библиотеки;Корпоративный музей: сохранение традиций и развитие имиджевой политики предприятия;https://www.cntiprogress.ru/seminarsforcolumn/16649.aspx
Культура;Музеи. Библиотеки;Экспозиционно-выставочная деятельность музея;https://www.cntiprogress.ru/seminarsforcolumn/23914.aspx
Культура;Музеи. Библиотеки;Музейные фонды: формирование, учет, хранение, использование;https://www.cntiprogress.ru/seminarsforcolumn/15314.aspx
Культура;Технологии: звук, свет, сцена;Художник по свету: технологии и практики художественно-постановочного освещения;https://www.cntiprogress.ru/seminarsforcolumn/13094.aspx
Культура;Технологии: звук, свет, сцена;Костюмная бутафория: моделирование и изготовление;https://www.cntiprogress.ru/seminarsforcolumn/15230.aspx
Культура;Технологии: звук, свет, сцена;Работа со зрителем: маркетинг, PR и реклама в учреждениях культуры;https://www.cntiprogress.ru/seminarsforcolumn/13252.aspx
Культура;Технологии: звук, свет, сцена;Технологии концертной и студийной звукорежиссуры;https://www.cntiprogress.ru/seminarsforcolumn/3755.aspx
Культура;Технологии: звук, свет, сцена;Художник по костюму в театре, кино и шоу;https://www.cntiprogress.ru/seminarsforcolumn/13735.aspx
Менеджмент;Общий менеджмент;Контроль в управлении. Система внутреннего контроля и управления рисками;https://www.cntiprogress.ru/seminarsforcolumn/6422.aspx
Менеджмент;Общий менеджмент;Успешный руководитель. Методы эффективного управления;https://www.cntiprogress.ru/seminarsforcolumn/12162.aspx
Менеджмент;Общий менеджмент;Управление бизнес-процессами в компании: описание, анализ и оптимизация;https://www.cntiprogress.ru/seminarsforcolumn/8548.aspx
Менеджмент;Общий менеджмент;Тренинг для опытных руководителей. Продвинутый уровень;https://www.cntiprogress.ru/seminarsforcolumn/18485.aspx
Менеджмент;Общий менеджмент;Развитие управленческих навыков. Подготовка кадрового резерва;https://www.cntiprogress.ru/seminarsforcolumn/5514.aspx
Менеджмент;Общий менеджмент;KPI: разработка, внедрение и развитие системы;https://www.cntiprogress.ru/seminarsforcolumn/18479.aspx
Менеджмент;Общий менеджмент;Управление проектами — правила, практика, результаты;https://www.cntiprogress.ru/seminarsforcolumn/4763.aspx
Менеджмент;Спортивный менеджмент;Современные подходы к управлению физкультурно-спортивными организациями;https://www.cntiprogress.ru/seminarsforcolumn/11915.aspx
Менеджмент;Управление административно-хозяйственной деятельностью;Административно-хозяйственное обеспечение предприятия;https://www.cntiprogress.ru/seminarsforcolumn/3411.aspx
Менеджмент;Управление административно-хозяйственной деятельностью;Руководитель АХО. Управление административно-хозяйственным подразделением предприятия;https://www.cntiprogress.ru/seminarsforcolumn/19341.aspx
Недвижимость;Управление и эксплуатация недвижимости;Имущественный комплекс предприятия: эффективное управление в условиях изменения законодательства;https://www.cntiprogress.ru/seminarsforcolumn/11402.aspx
Недвижимость;Управление и эксплуатация недвижимости;Недвижимое имущество и сделки с ним с учетом изменений гражданского и земельного законодательства;https://www.cntiprogress.ru/seminarsforcolumn/12806.aspx
Недвижимость;Управление и эксплуатация недвижимости;Управление эксплуатацией зданий, сооружений. Особенности эксплуатации различных объектов, инфраструктуры, в том числе в сложных условиях;https://www.cntiprogress.ru/seminarsforcolumn/9814.aspx
Образование;Высшее образование;Современные подходы к организации практики студентов. Формы взаимодействия вуза с предприятиями;https://www.cntiprogress.ru/seminarsforcolumn/14929.aspx
Офисные службы;Архивы;Современный архив организации: технологии хранения, автоматизация, управление деятельностью;https://www.cntiprogress.ru/seminarsforcolumn/4919.aspx
Офисные службы;Архивы;Создание архива с нуля: практика организации;https://www.cntiprogress.ru/seminarsforcolumn/20785.aspx
Офисные службы;Архивы;Современный государственный и муниципальный архив;https://www.cntiprogress.ru/seminarsforcolumn/15906.aspx
Офисные службы;Делопроизводство;Эффективная работа службы документационного обеспечения управления (ДОУ);https://www.cntiprogress.ru/seminarsforcolumn/4144.aspx
Офисные службы;Делопроизводство;Автоматизация делопроизводства. Технологии внедрения, адаптации, управления СЭД;https://www.cntiprogress.ru/seminarsforcolumn/4407.aspx
Офисные службы;Делопроизводство;Делопроизводство и документационное обеспечение деятельности организации;https://www.cntiprogress.ru/seminarsforcolumn/4572.aspx
Офисные службы;Делопроизводство;Ведение делопроизводства компании. Практический курс;https://www.cntiprogress.ru/seminarsforcolumn/19737.aspx
Офисные службы;Работа с руководителем;Обеспечение работы руководителя;https://www.cntiprogress.ru/seminarsforcolumn/4409.aspx
Офисные службы;Работа с руководителем;Развитие профессиональных компетенций секретаря;https://www.cntiprogress.ru/seminarsforcolumn/17586.aspx
Офисные службы;Работа с руководителем;Секретарь — помощник руководителя;https://www.cntiprogress.ru/seminarsforcolumn/3716.aspx
Право. ВЭД;Внешнеэкономическая деятельность;Организация внешнеэкономической деятельности на предприятии: таможенное и валютное регулирование;https://www.cntiprogress.ru/seminarsforcolumn/18738.aspx
Право. ВЭД;Внешнеэкономическая деятельность;Валютное регулирование и валютный контроль;https://www.cntiprogress.ru/seminarsforcolumn/19360.aspx
Право. ВЭД;Внешнеэкономическая деятельность;Особенности торговли с Китаем и странами Юго-Восточной Азии. Изменения законодательства в сфере внешнеэкономической деятельности;https://www.cntiprogress.ru/seminarsforcolumn/34653.aspx
Право. ВЭД;Гражданское и процессуальное право;Повышение квалификации юриста: инструменты правового обеспечения деятельности организации;https://www.cntiprogress.ru/seminarsforcolumn/25961.aspx
Право. ВЭД;Гражданское и процессуальное право;Защита прав юридических лиц при проверках контролирующими органами (с учетом актуальных изменений);https://www.cntiprogress.ru/seminarsforcolumn/20599.aspx
Право. ВЭД;Договорная работа;Экономическое сопровождение договорной деятельности предприятия;https://www.cntiprogress.ru/seminarsforcolumn/3609.aspx
Право. ВЭД;Договорная работа;Договор: как правильно составить и проверить;https://www.cntiprogress.ru/seminarsforcolumn/6478.aspx
Промышленность;Бережливое производство;Бережливое производство и Шесть сигм (Lean Six Sigma);https://www.cntiprogress.ru/seminarsforcolumn/28375.aspx
Промышленность;Бережливое производство;Бережливые технологии в производстве. Практикум;https://www.cntiprogress.ru/seminarsforcolumn/64933.aspx
Промышленность;Бережливое производство;Оптимизация производства на основе интеграции инструментов бережливого производства и цифровизации. Цифровизация бережливых процессов;https://www.cntiprogress.ru/seminarsforcolumn/59084.aspx
Промышленность;Бережливое производство;Бережливое производство: практические инструменты развития производственных систем;https://www.cntiprogress.ru/seminarsforcolumn/28064.aspx
Промышленность;Закупки. Снабжение. Склад/Закупки и снабжение;Управление закупками и снабжением;https://www.cntiprogress.ru/seminarsforcolumn/4142.aspx
Промышленность;Закупки. Снабжение. Склад/Склад;Бережливый склад и эффективная логистика. Совершенствование работы склада и поставок;https://www.cntiprogress.ru/seminarsforcolumn/35173.aspx
Промышленность;Материалы, технологии, оборудование;Практическое материаловедение;https://www.cntiprogress.ru/seminarsforcolumn/31563.aspx
Промышленность;Материалы, технологии, оборудование;Антистатика. Защита от электростатических разрядов (ESD) при производстве электронных устройств;https://www.cntiprogress.ru/seminarsforcolumn/27496.aspx
Промышленность;Материалы, технологии, оборудование;Программирование обработки токарно-фрезерных деталей для станков с ЧПУ со стойкой Fanuc;https://www.cntiprogress.ru/seminarsforcolumn/59655.aspx
Промышленность;Материалы, технологии, оборудование;Пресс-формы для производства изделий из пластмасс: современные технологии проектирования и эксплуатации;https://www.cntiprogress.ru/seminarsforcolumn/29560.aspx
Промышленность;Стандартизация. Метрология;Нормоконтроль проектной и рабочей документации для строительства;https://www.cntiprogress.ru/seminarsforcolumn/17458.aspx
Промышленность;Управление производством/Обслуживание оборудования;Насосы и компрессоры — вопросы эксплуатации;https://www.cntiprogress.ru/seminarsforcolumn/7783.aspx
Промышленность;Управление производством/Обслуживание оборудования;Служба главного механика. Управление обслуживанием и ремонтом оборудования;https://www.cntiprogress.ru/seminarsforcolumn/3257.aspx
Промышленность;Управление производством/Руководителям производств;Роботизация производственных процессов: внедрение роботов в производство и управление роботизированными системами;https://www.cntiprogress.ru/seminarsforcolumn/40141.aspx
Промышленность;Управление производством/Руководителям производств;Планирование и диспетчеризация производства;https://www.cntiprogress.ru/seminarsforcolumn/11592.aspx
Промышленность;Управление производством/Технологам;Технолог—термист;https://www.cntiprogress.ru/seminarsforcolumn/19790.aspx
Промышленность;Управление производством/Технологам;Технологическая подготовка производства. Пути повышения эффективности;https://www.cntiprogress.ru/seminarsforcolumn/11199.aspx
Промышленность;Управление производством/Управление цехом;Управление цехом и производственным участком промышленного предприятия;https://www.cntiprogress.ru/seminarsforcolumn/3731.aspx
Строительство и инженерные сети;Дорожное строительство;Новые стандарты в области производства асфальтобетонов и дорожного строительства. Контроль качества работ;https://www.cntiprogress.ru/seminarsforcolumn/34203.aspx
Строительство и инженерные сети;Инженерные сети: проектирование и строительство/Электроснабжение;Наружное освещение. Проектирование, монтаж, эксплуатация;https://www.cntiprogress.ru/seminarsforcolumn/10263.aspx
Строительство и инженерные сети;Инженерные сети: проектирование и строительство/Электроснабжение;Организация контроля и учета электроэнергии;https://www.cntiprogress.ru/seminarsforcolumn/12892.aspx
Строительство и инженерные сети;Инженерные сети: проектирование и строительство/Электроснабжение;Воздушные (ВЛ) и кабельные (КЛ) линии электропередачи. Практические вопросы проектирования и эксплуатации;https://www.cntiprogress.ru/seminarsforcolumn/20298.aspx
Строительство и инженерные сети;Инженерные сети: проектирование и строительство/Электроснабжение;Организация деятельности электротехнической лаборатории, испытания, измерения;https://www.cntiprogress.ru/seminarsforcolumn/20485.aspx
Строительство и инженерные сети;Проектирование. Изыскания;Инженерные изыскания: практические вопросы организации работ. Изменения в требованиях;https://www.cntiprogress.ru/seminarsforcolumn/32851.aspx
Строительство и инженерные сети;Сметное дело;Ценообразование в строительстве от РИМ до сметы контракта. Методы определения сметной стоимости строительства;https://www.cntiprogress.ru/seminarsforcolumn/16759.aspx
Строительство и инженерные сети;Строительные материалы и технологии;Дорожно-строительные лаборатории — организационные вопросы деятельности. Новые стандарты в области дорожного строительства и производства асфальтобетонов;https://www.cntiprogress.ru/seminarsforcolumn/16924.aspx
Строительство и инженерные сети;Строительные материалы и технологии;Технологии производства сборных железобетонных конструкций и изделий на заводах ЖБИ;https://www.cntiprogress.ru/seminarsforcolumn/54399.aspx
Строительство и инженерные сети;Строительные материалы и технологии;Грунтовая испытательная лаборатория для инженерно-геологических изысканий: организация деятельности, методы испытаний, современное оборудование;https://www.cntiprogress.ru/seminarsforcolumn/19205.aspx
Строительство и инженерные сети;Строительство: организация и управление;Управление рисками в строительстве. Система внутреннего контроля и мониторинга;https://www.cntiprogress.ru/seminarsforcolumn/49465.aspx
Управление персоналом;HR-технологии. Управление персоналом/Мотивация персонала;Социальная политика организации: тенденции C&B, реализация корпоративных программ, управление предприятием как ESG-принцип;https://www.cntiprogress.ru/seminarsforcolumn/7040.aspx
Управление персоналом;Трудовое право. Кадровое делопроизводство/Кадровое делопроизводство;Кадровый аудит своими силами: практические рекомендации;https://www.cntiprogress.ru/seminarsforcolumn/23522.aspx
Управление персоналом;Трудовое право. Кадровое делопроизводство/Трудовое право;Новые аспекты трудового, гражданского и пенсионного законодательства. Защита персональных данных;https://www.cntiprogress.ru/seminarsforcolumn/11454.aspx
Управление персоналом;Трудовое право. Кадровое делопроизводство/Трудовое право;Обучение персонала в соответствии с ТК РФ и законом об образовании № 273-ФЗ;https://www.cntiprogress.ru/seminarsforcolumn/24890.aspx
Экономика. Финансы. Бухгалтерский учет;Бухгалтерский учет/Бухгалтерский учет в коммерческих организациях;Главный бухгалтер — гражданско-правовые и управленческие аспекты деятельности;https://www.cntiprogress.ru/seminarsforcolumn/12921.aspx
Экономика. Финансы. Бухгалтерский учет;Бухгалтерский учет/Бухгалтерский учет в коммерческих организациях;Учет ОС, НМА и МПЗ. Сложные вопросы и последние изменения в бухгалтерском и налоговом учете;https://www.cntiprogress.ru/seminarsforcolumn/18509.aspx
Экономика. Финансы. Бухгалтерский учет;Оплата труда и мотивация;Расчет заработной платы. Сложные вопросы оплаты труда, налоги и взносы;https://www.cntiprogress.ru/seminarsforcolumn/18543.aspx
Экономика. Финансы. Бухгалтерский учет;Финансовый менеджмент. Экономика;Управление затратами;https://www.cntiprogress.ru/seminarsforcolumn/15905.aspx
Экономика. Финансы. Бухгалтерский учет;Финансовый менеджмент. Экономика;Ценообразование в компании. Практикум;https://www.cntiprogress.ru/seminarsforcolumn/3893.aspx
Энергетика;Энергосбережение;Особенности метрологического обеспечения, регулирования и учета тепловой энергии и теплоносителя;https://www.cntiprogress.ru/seminarsforcolumn/11622.aspx
